location,current
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609270202, 'localtime': '2020-12-29 14:30'}","{'last_updated_epoch': 1609269305, 'last_updated': '2020-12-29 14:15', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 0, 'feelslike_c': -0.6, 'feelslike_f': 30.8, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 17.2, 'gust_kph': 27.7}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609271102, 'localtime': '2020-12-29 14:45'}","{'last_updated_epoch': 1609270206, 'last_updated': '2020-12-29 14:30', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 0, 'feelslike_c': -0.6, 'feelslike_f': 30.8, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 17.2, 'gust_kph': 27.7}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609272003, 'localtime': '2020-12-29 15:00'}","{'last_updated_epoch': 1609271106, 'last_updated': '2020-12-29 14:45', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 0, 'feelslike_c': -0.6, 'feelslike_f': 30.9, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 16.6, 'gust_kph': 26.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609272902, 'localtime': '2020-12-29 15:15'}","{'last_updated_epoch': 1609272008, 'last_updated': '2020-12-29 15:00', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 0, 'feelslike_c': -0.6, 'feelslike_f': 30.9, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 16.6, 'gust_kph': 26.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609273802, 'localtime': '2020-12-29 15:30'}","{'last_updated_epoch': 1609272905, 'last_updated': '2020-12-29 15:15', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 25, 'feelslike_c': -1.4, 'feelslike_f': 29.5, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 16.6, 'gust_kph': 26.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609274703, 'localtime': '2020-12-29 15:45'}","{'last_updated_epoch': 1609273806, 'last_updated': '2020-12-29 15:30', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 25, 'feelslike_c': -1.4, 'feelslike_f': 29.5, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 16.6, 'gust_kph': 26.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609275603, 'localtime': '2020-12-29 16:00'}","{'last_updated_epoch': 1609274706, 'last_updated': '2020-12-29 15:45', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 25, 'feelslike_c': -1.3, 'feelslike_f': 29.7, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 15.9, 'gust_kph': 25.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609276503, 'localtime': '2020-12-29 16:15'}","{'last_updated_epoch': 1609275610, 'last_updated': '2020-12-29 16:00', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 25, 'feelslike_c': -1.3, 'feelslike_f': 29.7, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 15.9, 'gust_kph': 25.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609277403, 'localtime': '2020-12-29 16:30'}","{'last_updated_epoch': 1609276520, 'last_updated': '2020-12-29 16:15', 'temp_c': 2.8, 'temp_f': 37.0, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 11.9, 'wind_kph': 19.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1031.0, 'pressure_in': 30.9, 'precip_mm': 0.1, 'precip_in': 0.0, 'humidity': 32, 'cloud': 0, 'feelslike_c': -2.1, 'feelslike_f': 28.3, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 16.6, 'gust_kph': 26.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609278302, 'localtime': '2020-12-29 16:45'}","{'last_updated_epoch': 1609277406, 'last_updated': '2020-12-29 16:30', 'temp_c': 2.8, 'temp_f': 37.0, 'is_day': 0, 'condition': {'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}, 'wind_mph': 11.9, 'wind_kph': 19.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1031.0, 'pressure_in': 30.9, 'precip_mm': 0.1, 'precip_in': 0.0, 'humidity': 32, 'cloud': 0, 'feelslike_c': -2.1, 'feelslike_f': 28.3, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 16.6, 'gust_kph': 26.6}"
